site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
L1,354,677195,677200,5290.5859375,5290.625,0.07876275407442018,6.005497886448105
L1,355,677582,677586,5293.609375,5293.640625,0.08690148281295923,6.8217265595264
L1,356,683194,683197,5337.453125,5337.4765625,0.08068288367696336,6.198066638641645
L1,357,683325,683331,5338.4765625,5338.5234375,0.08141832652677389,6.271823801548824
L1,358,683418,683423,5339.203125,5339.2421875,0.11589175290013676,9.729144959329945
L1,359,684641,684644,5348.7578125,5348.78125,0.09261253831395923,7.3944852056506
L1,360,685838,685842,5358.109375,5358.140625,0.10503929124742811,8.640757490107873
L1,361,685933,685938,5358.8515625,5358.890625,0.0787523861911972,6.004458097085714
L1,362,686017,686024,5359.5078125,5359.5625,0.09500290265502212,7.634213543694418
L1,363,686096,686100,5360.125,5360.15625,0.08906758591731605,7.038963860266973
L1,364,686160,686168,5360.625,5360.6875,0.08123726999322814,6.253665740397529
L1,365,686357,686362,5362.1640625,5362.203125,0.09631547669758389,7.765850879634125
L1,366,687966,687972,5374.734375,5374.78125,0.1251306627228787,10.65571019421703
L1,367,689025,689030,5383.0078125,5383.046875,0.07918985534555487,6.048331640343544
L1,368,689285,689289,5385.0390625,5385.0703125,0.07883335322361412,6.012578236674567
L1,369,690382,690386,5393.609375,5393.640625,0.08041107109020576,6.170806702336782
L1,370,690807,690811,5396.9296875,5396.9609375,0.0880538709183108,6.937298935055796
L1,371,695842,695845,5436.265625,5436.2890625,0.08405940202831676,6.536695825347335
L1,372,696678,696682,5442.796875,5442.828125,0.08172000080632513,6.302078550762172
L1,373,697243,697247,5447.2109375,5447.2421875,0.08555242558073246,6.686430344362853
L1,374,697425,697430,5448.6328125,5448.671875,0.08861671723141382,6.993746485287524
L1,375,698276,698281,5455.28125,5455.3203125,0.09554696745777093,7.688777506480576
L1,376,698711,698715,5458.6796875,5458.7109375,0.0788679210571961,6.0160450258798885
L1,377,698839,698843,5459.6796875,5459.7109375,0.08291669030345013,6.422093888747305
L1,378,699948,699952,5468.34375,5468.375,0.0806282320981302,6.192585661562094
L1,379,701733,701744,5482.2890625,5482.375,0.08582355726083658,6.713621992910241
