site,event_index,onset_sample,peak_sample,onset_s_from_start,peak_s_from_start,peak_envelope,robust_z_peak
H1,2415,1351002,1351005,10554.703125,10554.7265625,0.00697897644112395,6.307980684533051
H1,2416,1351093,1351099,10555.4140625,10555.4609375,0.007480524032703651,6.890795924277279
H1,2417,1351799,1351802,10560.9296875,10560.953125,0.007500964010211595,6.9145478684430115
H1,2418,1351860,1351866,10561.40625,10561.453125,0.007061497604048488,6.403873062766503
H1,2419,1353012,1353023,10570.40625,10570.4921875,0.009880971950224946,9.680197472667299
H1,2420,1353541,1353544,10574.5390625,10574.5625,0.007285407786298476,6.664064256463945
H1,2421,1353891,1353894,10577.2734375,10577.296875,0.009163456146378354,8.846419876563202
H1,2422,1354843,1354847,10584.7109375,10584.7421875,0.0067940260813214685,6.093062120275656
H1,2423,1355210,1355216,10587.578125,10587.625,0.009640015392314258,9.40019781475977
H1,2424,1356756,1356760,10599.65625,10599.6875,0.0107267047159144,10.662967508592235
H1,2425,1357695,1357698,10606.9921875,10607.015625,0.007074284738628932,6.418732144997701
H1,2426,1357833,1357840,10608.0703125,10608.125,0.011595940880542619,11.67304928784377
H1,2427,1357916,1357919,10608.71875,10608.7421875,0.008065309603888423,7.57033650744616
H1,2428,1359459,1359467,10620.7734375,10620.8359375,0.008395209138567337,7.953690908151813
H1,2429,1360597,1360606,10629.6640625,10629.734375,0.01385773624215295,14.301331883673619
H1,2430,1361042,1361045,10633.140625,10633.1640625,0.007661691856138037,7.101319053530652
H1,2431,1361301,1361304,10635.1640625,10635.1875,0.006886447683854026,6.200459143692522
H1,2432,1362211,1362215,10642.2734375,10642.3046875,0.010689685446867854,10.619949867740717
H1,2433,1362837,1362843,10647.1640625,10647.2109375,0.012038394667701475,12.187195531127548
H1,2434,1363939,1363942,10655.7734375,10655.796875,0.007638792232341919,7.074708917310575
H1,2435,1364894,1364899,10663.234375,10663.2734375,0.012659958170648949,12.909473313073645
H1,2436,1365490,1365495,10667.890625,10667.9296875,0.014799642004176479,15.39585818930533
H1,2437,1366895,1366898,10678.8671875,10678.890625,0.006925876174880452,6.246276381849208
H1,2438,1367984,1367987,10687.375,10687.3984375,0.007108440467752001,6.458422255750308
H1,2439,1368727,1368730,10693.1796875,10693.203125,0.007076665453525982,6.421498616109879
H1,2440,1369228,1369232,10697.09375,10697.125,0.008256137808315104,7.792085325664186
H1,2441,1369599,1369603,10699.9921875,10700.0234375,0.007015452510783799,6.350367109352229
H1,2442,1370106,1370110,10703.953125,10703.984375,0.00851278209068652,8.090314649202893
H1,2443,1370358,1370364,10705.921875,10705.96875,0.012429254372813553,12.641387708631115
H1,2444,1371187,1371191,10712.3984375,10712.4296875,0.006901513104555951,6.217965671339449
H1,2445,1372149,1372152,10719.9140625,10719.9375,0.00821851767893606,7.748369464813976
H1,2446,1372559,1372562,10723.1171875,10723.140625,0.00788890495450007,7.365348347296791
H1,2447,1373245,1373249,10728.4765625,10728.5078125,0.013733892591356947,14.157421378985246
H1,2448,1373362,1373366,10729.390625,10729.421875,0.017544428045229963,18.585392266270354
H1,2449,1373434,1373441,10729.953125,10730.0078125,0.008399179801241557,7.958304952276978
H1,2450,1373950,1373953,10733.984375,10734.0078125,0.009637740772635467,9.397554629874271
H1,2451,1374775,1374778,10740.4296875,10740.453125,0.008001468020046483,7.496150430955791
H1,2452,1374880,1374885,10741.25,10741.2890625,0.009594408508317625,9.347201075314235
